s dummy RR0 RR2 RR4 RR6 RR8
0.326212 0 4.79774 -4.27789 -6.13052 -11.1225 -11.5799
0.326964 0 11.7548 -12.528 -14.9329 -32.5729 -28.2066
0.327718 0 5.35158 -2.45563 0.600647 -6.38465 1.13456
0.328473 0 10.1516 -6.62873 4.38893 -17.2347 8.2902
0.329231 0 1.3809 -2.32481 0.231429 -6.04451 0.437144
0.32999 0 0 0 0 0 0
0.33075 0 8.88692 0.205769 -9.49826 0.535 -17.9412
0.331513 0 5.15133 3.58001 0.489338 9.30802 0.924304
0.332277 0 3.37524 1.52226 -10.3588 3.95788 -19.5666
0.333043 0 0 0 0 0 0
0.333811 0 4.21708 1.21411 -6.50158 3.15669 -12.2808
0.33458 0 5.79163 9.77119 0.2142 25.4051 0.404599
0.335352 0 6.93194 -8.59428 13.1261 -22.3451 24.7938
0.336125 0 1.90182 3.57306 7.29567 9.28995 13.7807
0.336899 0 7.3238 -0.9041 14.4651 -2.35066 27.3229
0.337676 0 2.95083 -4.62903 -0.0615026 -12.0355 -0.116172
0.338454 0 8.38582 -15.7098 8.65321 -40.8454 16.345
0.339235 0 4.93799 0.451205 -4.13585 1.17313 -7.81216
0.340017 0 3.17749 -6.41543 4.36155 -16.6801 8.23849
0.340801 0 8.41806 3.01698 11.8272 7.84416 22.3403
0.341586 0 0.819807 1.79112 -1.92117 4.6569 -3.62888
0.342374 0 5.8945 5.24647 -4.26587 13.6408 -8.05775
0.343163 0 2.8719 6.00972 -7.23954 15.6253 -13.6747
0.343954 0 5.54506 -13.1678 15.7963 -34.2364 29.8374
0.344747 0 3.66405 3.01184 -4.39301 7.83077 -8.29791
0.345542 0 4.51266 3.41869 -10.0251 8.88859 -18.9363
0.346338 0 2.15543 9.53527 12.4488 24.7917 23.5144
0.347137 0 8.43001 2.42606 17.4678 6.30777 32.9948
0.347937 0 1.77657 -3.15727 0.86695 -8.2089 1.63757
0.348739 0 6.28721 5.11185 2.14 13.2908 4.04222
0.349543 0 8.20125 -5.73739 3.15599 -14.9172 5.96132
0.350349 0 7.18009 -8.53912 -0.0616943 -22.2017 -0.116534
0.351156 0 17.2317 22.9717 33.7792 59.7264 63.8052
0.351966 0 2.85358 1.1358 -0.36026 2.95307 -0.680492
0.352777 0 6.57652 -8.84888 8.51403 -23.0071 16.082
0.35359 0 7.77445 0.321691 -12.4453 0.836396 -23.5078
0.354405 0 3.17139 -1.43872 0.29218 -3.74068 0.551896
0.355222 0 8.67943 22.5919 23.9506 58.739 45.2401
0.356041 0 0.992165 -1.41824 -0.634015 -3.68742 -1.19758
0.356862 0 4.06939 6.24288 3.39214 16.2315 6.40737
0.357685 0 2.33125 7.985 3.00077 20.761 5.66811
0.358509 0 3.53629 -7.78752 7.53015 -20.2475 14.2236
